code,market_cap_million,as_of,close,finance_date,net_profit,eps,estimated_shares,source
9735,2615066.644,2026-08-31,6491,2026-08-07,24096000000,59.81,402875773.282,NP/EPS*close
9744,264228.985,2026-08-31,3423,2026-07-30,3574000000,46.3,77192224.622,NP/EPS*close
9759,224561.761,2026-08-31,2962,2026-07-30,2514000000,33.16,75814234.017,NP/EPS*close
9766,2996455.556,2026-08-31,22105,2026-07-30,32574000000,240.3,135555555.556,NP/EPS*close
9831,476466.791,2026-08-31,716.8,2026-08-06,9984000000,15.02,664713715.047,NP/EPS*close
9843,1722407.547,2026-08-31,3048,2026-08-07,25757000000,45.58,565094339.623,NP/EPS*close
9861,247540.136,2026-08-31,3825,2026-07-08,1814000000,28.03,64716375.312,NP/EPS*close
9934,346358.26,2026-08-31,3085,2026-07-31,8115000000,72.28,112271721.085,NP/EPS*close
9962,994874.067,2026-08-31,3760,2026-07-31,11703000000,44.23,264594166.855,NP/EPS*close
9983,22230184.392,2026-08-31,72450,2026-07-09,426077000000,1388.62,306834843.226,NP/EPS*close
9984,30061850.866,2026-08-31,5200,2026-08-06,347330000000,60.08,5781125166.445,NP/EPS*close
9987,348177.395,2026-08-31,5148,2026-08-07,3381000000,49.99,67633526.705,NP/EPS*close
9989,436588.998,2026-08-31,3732,2026-08-14,8017000000,68.53,116985261.929,NP/EPS*close
