trade_date,name,open,high,low,close,change,change_pct,fetched_at
2016-12-06,東証グロース市場250指数,907.91,912.37,898.94,898.94,,,2026-08-15T14:30:42+09:00
2016-12-07,TOPIX,1484.16,1490.76,1481.18,1490.62,,,2026-08-12T20:50:03+09:00
2016-12-07,TOPIX グロース,1817.6,1820.29,1810.36,1819.36,,,2026-08-12T20:50:03+09:00
2016-12-07,TOPIX バリュー,1751.73,1764.66,1750.58,1764.66,,,2026-08-12T20:50:03+09:00
2016-12-07,東証グロース市場250指数,899.76,902.14,894.89,897.92,,,2026-08-15T14:30:42+09:00
2016-12-08,TOPIX,1505.34,1512.69,1500.25,1512.69,,,2026-08-12T20:50:03+09:00
2016-12-08,TOPIX グロース,1834.88,1839.86,1826.33,1839.86,,,2026-08-12T20:50:03+09:00
2016-12-08,TOPIX バリュー,1785.06,1796.6,1780.16,1796.6,,,2026-08-12T20:50:03+09:00
2016-12-08,東証グロース市場250指数,897.12,902.45,888.55,888.55,,,2026-08-15T14:30:42+09:00
2016-12-09,TOPIX,1512.98,1526.97,1510.98,1525.36,,,2026-08-12T20:50:03+09:00
2016-12-09,TOPIX グロース,1838.14,1854.73,1835.81,1852.42,,,2026-08-12T20:50:03+09:00
2016-12-09,TOPIX バリュー,1800.74,1815.73,1795.13,1814.25,,,2026-08-12T20:50:03+09:00
2016-12-09,東証グロース市場250指数,886.79,905.64,885.88,904.95,,,2026-08-15T14:30:42+09:00
2016-12-12,TOPIX,1537.9,1542.99,1520.23,1531.43,,,2026-08-12T20:50:03+09:00
2016-12-12,TOPIX グロース,1867.96,1873.94,1857.28,1867.36,,,2026-08-12T20:50:03+09:00
2016-12-12,TOPIX バリュー,1829.83,1837.24,1798.16,1814.6,,,2026-08-12T20:50:03+09:00
2016-12-12,東証グロース市場250指数,912.93,927.71,911.34,922.04,,,2026-08-15T14:30:42+09:00
2016-12-13,TOPIX,1525.87,1540.25,1523,1540.25,,,2026-08-12T20:50:03+09:00
2016-12-13,TOPIX グロース,1867.67,1884.12,1863.73,1883.62,,,2026-08-12T20:50:03+09:00
2016-12-13,TOPIX バリュー,1804.32,1820.05,1798.08,1820.05,,,2026-08-12T20:50:03+09:00
2016-12-13,東証グロース市場250指数,919.66,941.45,919.55,941.27,,,2026-08-15T14:30:42+09:00
2016-12-14,TOPIX,1541.28,1542.29,1535.85,1538.69,,,2026-08-12T20:50:03+09:00
2016-12-14,TOPIX グロース,1885.78,1890.02,1882.18,1882.87,,,2026-08-12T20:50:03+09:00
2016-12-14,TOPIX バリュー,1821.07,1821.07,1811.27,1817.17,,,2026-08-12T20:50:03+09:00
2016-12-14,東証グロース市場250指数,946.95,951.21,932.46,932.68,,,2026-08-15T14:30:42+09:00
2016-12-15,TOPIX,1543.37,1553.59,1536.91,1542.72,,,2026-08-12T20:50:03+09:00
2016-12-15,TOPIX グロース,1886.34,1896.69,1880.15,1886.29,,,2026-08-12T20:50:03+09:00
2016-12-15,TOPIX バリュー,1825.15,1837.85,1815.64,1823.3,,,2026-08-12T20:50:03+09:00
2016-12-15,東証グロース市場250指数,936.84,938.35,925.44,931.11,,,2026-08-15T14:30:42+09:00
2016-12-16,TOPIX,1553.46,1555.04,1546.74,1550.67,,,2026-08-12T20:50:03+09:00
2016-12-16,TOPIX グロース,1898.37,1898.55,1887.81,1892.03,,,2026-08-12T20:50:03+09:00
2016-12-16,TOPIX バリュー,1839.76,1840.11,1830.97,1836.31,,,2026-08-12T20:50:03+09:00
2016-12-16,東証グロース市場250指数,932.55,935.97,925.33,927.02,,,2026-08-15T14:30:42+09:00
2016-12-19,TOPIX,1546.09,1549.68,1542.58,1549.06,,,2026-08-12T20:50:03+09:00
2016-12-19,TOPIX グロース,1890.4,1896.4,1887.03,1895.75,,,2026-08-12T20:50:03+09:00
2016-12-19,TOPIX バリュー,1828.58,1831.42,1822.28,1829.24,,,2026-08-12T20:50:03+09:00
2016-12-19,東証グロース市場250指数,925.57,926.19,918.51,920.01,,,2026-08-15T14:30:42+09:00
2016-12-20,TOPIX,1546.47,1553.26,1544.24,1552.36,,,2026-08-12T20:50:03+09:00
2016-12-20,TOPIX グロース,1893.73,1909.13,1892.61,1906.88,,,2026-08-12T20:50:03+09:00
2016-12-20,TOPIX バリュー,1823.54,1826.85,1816.14,1826.71,,,2026-08-12T20:50:03+09:00
2016-12-20,東証グロース市場250指数,919.6,929.27,919.27,928.27,,,2026-08-15T14:30:42+09:00
2016-12-21,TOPIX,1555.31,1558.75,1541.6,1544.94,,,2026-08-12T20:50:03+09:00
2016-12-21,TOPIX グロース,1908.46,1909.67,1891.94,1895.18,,,2026-08-12T20:50:03+09:00
2016-12-21,TOPIX バリュー,1832.19,1839.58,1815.7,1820.32,,,2026-08-12T20:50:03+09:00
2016-12-21,東証グロース市場250指数,930.86,931.16,918.51,918.51,,,2026-08-15T14:30:42+09:00
2016-12-22,TOPIX,1542.31,1543.82,1535.82,1543.82,,,2026-08-12T20:50:03+09:00
2016-12-22,TOPIX グロース,1891.68,1893.75,1887.5,1893.75,,,2026-08-12T20:50:03+09:00
2016-12-22,TOPIX バリュー,1817.17,1819.06,1805.54,1819.06,,,2026-08-12T20:50:03+09:00
2016-12-22,東証グロース市場250指数,917.83,917.83,902.43,905.31,,,2026-08-15T14:30:42+09:00
2016-12-26,TOPIX,1540.98,1541.96,1537.76,1538.14,,,2026-08-12T20:50:03+09:00
2016-12-26,TOPIX グロース,1892.68,1897.89,1891.72,1894.74,,,2026-08-12T20:50:03+09:00
2016-12-26,TOPIX バリュー,1813.03,1814.5,1804.36,1805.14,,,2026-08-12T20:50:03+09:00
2016-12-26,東証グロース市場250指数,904.77,921.39,904.52,920.54,,,2026-08-15T14:30:42+09:00
2016-12-27,TOPIX,1534.37,1544.83,1534.04,1536.22,,,2026-08-12T20:50:03+09:00
2016-12-27,TOPIX グロース,1892.63,1900.62,1889.88,1891.84,,,2026-08-12T20:50:03+09:00
2016-12-27,TOPIX バリュー,1798.36,1815.09,1797.41,1803.38,,,2026-08-12T20:50:03+09:00
2016-12-27,東証グロース市場250指数,922.16,930.29,922.16,927.18,,,2026-08-15T14:30:42+09:00
2016-12-28,TOPIX,1536.47,1540.51,1533.29,1536.8,,,2026-08-12T20:50:03+09:00
2016-12-28,TOPIX グロース,1889.18,1894.36,1886.68,1890.61,,,2026-08-12T20:50:03+09:00
2016-12-28,TOPIX バリュー,1805.19,1810.48,1801.34,1805.82,,,2026-08-12T20:50:03+09:00
2016-12-28,東証グロース市場250指数,929.77,939.61,929.19,938.52,,,2026-08-15T14:30:42+09:00
2016-12-29,TOPIX,1529.33,1529.33,1513.25,1518.39,,,2026-08-12T20:50:03+09:00
2016-12-29,TOPIX グロース,1883.55,1883.57,1865.52,1871.15,,,2026-08-12T20:50:03+09:00
2016-12-29,TOPIX バリュー,1793.21,1794.78,1774.64,1781.28,,,2026-08-12T20:50:03+09:00
2016-12-29,東証グロース市場250指数,934.39,935.6,921.11,931.44,,,2026-08-15T14:30:42+09:00
2016-12-30,TOPIX,1509.56,1521.79,1508.01,1518.61,,,2026-08-12T20:50:03+09:00
2016-12-30,TOPIX グロース,1863.09,1877.97,1860.56,1874.45,,,2026-08-12T20:50:03+09:00
2016-12-30,TOPIX バリュー,1766.98,1782.7,1766.23,1778.81,,,2026-08-12T20:50:03+09:00
2016-12-30,東証グロース市場250指数,925.72,946.92,925.72,942.68,,,2026-08-15T14:30:42+09:00
2017-01-04,TOPIX,1533.04,1554.79,1532.56,1554.48,,,2026-08-12T20:50:03+09:00
2017-01-04,TOPIX グロース,1889.55,1908.2,1887.26,1908.15,,,2026-08-12T20:50:03+09:00
2017-01-04,TOPIX バリュー,1799.91,1830.96,1799.26,1830.42,,,2026-08-12T20:50:03+09:00
2017-01-04,東証グロース市場250指数,950.47,958.97,949.51,955.09,,,2026-08-15T14:30:42+09:00
2017-01-05,TOPIX,1558.06,1558.45,1550.64,1555.68,,,2026-08-12T20:50:03+09:00
2017-01-05,TOPIX グロース,1910.52,1915.01,1906.79,1913.39,,,2026-08-12T20:50:03+09:00
2017-01-05,TOPIX バリュー,1835.51,1836.58,1821.94,1828.4,,,2026-08-12T20:50:03+09:00
